CourseCode,CourseName,Credit,Link,Note
EECS 110,Discover Computer Science,['2'],https://atlas.ai.umich.edu/course/EECS%20110/,Enforced Prerequisite: None. (2 credits).
EECS 180,Exam/Transfer Introductory Computer Programming Credit,[],https://atlas.ai.umich.edu/course/EECS%20180/,Cannot receive credit if student has credit for EECS 183 or ENGR 101 or ENGR 151 (3-4 credits).
EECS 183,Elementary Programming Concepts,['4'],https://atlas.ai.umich.edu/course/EECS%20183/,"Prerequisite: None. (Credit for only one: EECS 180, EECS 183, ENGR 101 or ENGR 151) (4 credits)"
EECS 198,Special Topics,[],https://atlas.ai.umich.edu/course/EECS%20198/,Advisory Prerequisite: Permission of instructor. (1-4 credits)
EECS 200,Electrical Engineering Systems Design I,[],https://atlas.ai.umich.edu/course/EECS%20200/,Advisory Prerequisite: ENGR 100 or ENGR 101 or ENGR 151 or EECS 180 or EECS 280. Preceded or accompanied by: EECS 215 Minimum grade requirement of “C” for advised prerequisites. (2
EECS 201,Computer Science Pragmatics,[],https://atlas.ai.umich.edu/course/EECS%20201/,Prerequisite: EECS 180 or EECS 183 or ENGR 101 or ENGR 151 or ROB 102 or preceded or accompanied by (EECS 280 or EECS 281). Minimum grade requirement of “C” for enforced prerequisites. (1 credit)
EECS 203,Discrete Mathematics,['4'],https://atlas.ai.umich.edu/course/EECS%20203/,"Enforced Prerequisite: (MATH 115 or 116 or 119 or 120 or 121 or 156 or 175 or 176 or 185 or 186 or 214 or 215 or 216 or 217 or 255 or 256 or 285 or 286 or 295 or 296 or 417 or 419). Minimum grade requirement of “C” for enforced prerequisites.  (4 credits) [Fewer than two previous elections of EECS 203 (incl. grades of W.I, VI, and AUD)]"
EECS 215,Introduction to Electronic Circuits,['4'],https://atlas.ai.umich.edu/course/EECS%20215/,"Prerequisite: (MATH 116 or 121 or 156) and (ENGR 101 or 151 or EECS 180 or 183 or preceded or accompanied by EECS 280) and (preceded or accompanied by: PHYSICS 240 or 260); (C or better, No OP/F) Cannot receive credit for both EECS 314 and EECS 215. Minimum grade requirement of “C” for enforced prerequisites. (4 credits)"
EECS 216,Introduction to Signals and Systems,['4'],https://atlas.ai.umich.edu/course/EECS%20216/,Prerequisite: EECS 215 or EECS 314 or BIOMEDE 211. Advisory Prerequisite: Preceded or accompanied by MATH 216. (4 credits).
EECS 230,Electromagnetics I,['4'],https://atlas.ai.umich.edu/course/EECS%20230/,"Prerequisite: (MATH 215 and PHYSICS 240; C or better, No OP/F) or (Co-requisite: EECS 215; C or better, No OP/F). (4 credits)."
EECS 250 (NAVSCI 202),Electronic Sensing Systems,['3'],https://atlas.ai.umich.edu/course/EECS%20250/,Prerequisite: Preceded or accompanied by EECS 230 or PHYSICS 240. (3 credits). 
EECS 270,Introduction to Logic Design,[],https://atlas.ai.umich.edu/course/EECS%20270/,Prerequisite: 
EECS 280,Programming and Introductory Data Structures,['4'],https://atlas.ai.umich.edu/course/EECS%20280/,"Prerequisite: ENGR 101 or ENGR 151 or EECS 180 or EECS 183 or ROB 102. Minimum grade requirement of “C” for enforced prerequisites. (4 credits) [Fewer than two previous elections of EECS 280 (incl. grades of W.I, VI, and AUD)]"
EECS 281,Data Structures and Algorithms,['4'],https://atlas.ai.umich.edu/course/EECS%20281/,"Prerequisite: (EECS 203 or Math 465 or Math 565) and EECS 280. Minimum grade requirement of “C” for enforced prerequisites. Advisory Prerequisite: Minimum GPA of 2.5 over the best grade for each enforced prerequisite. (4 credits) [(EECS 203 or MATH 465 or 565) and EECS 280; (C or better, NO OP/F)] and [Fewer than two previous elections of EECS 281 (incl. grades of W, I, VI, and AUD)]"
EECS 285,Practical Programming in Java,['2'],https://atlas.ai.umich.edu/course/EECS%20285/,Prerequisite: EECS 280. Minimum grade requirement of “C” for enforced prerequisites. (2 credits)
EECS 298,Special Topics,[],https://atlas.ai.umich.edu/course/EECS%20298/,Advisory Prerequisite: Permission of instructor. (1-4 credits)
EECS 300,Electrical Engineering Systems Design II,['3'],https://atlas.ai.umich.edu/course/EECS%20300/,"Prerequisite: EECS 200, at least 3 of 4 (215, 216, 230, 280), Co-requisite EECS: 4th of 4 (215, 216, 230, 280) Minimum grade requirement of “C” for enforced prerequisites. (3 credits)"
EECS 301,Probabilistic Methods in Engineering,['4'],https://atlas.ai.umich.edu/course/EECS%20301/,Advisory Prerequisite: Preceded or accompanied by EECS 216. (4 credits)
EECS 311,Analog Circuits,['4'],https://atlas.ai.umich.edu/course/EECS%20311/,Prerequisite: EECS 215 and EECS 216. (4 credits)
EECS 312,Digital Integrated Circuits,['4'],https://atlas.ai.umich.edu/course/EECS%20312/,Prerequisite: EECS 215 and Math 216. Minimum grade requirement of “C” for enforced prerequisites. (4 credits).
EECS 314,"Electrical Circuits, Systems, and Applications",['4'],https://atlas.ai.umich.edu/course/EECS%20314/,"Prerequisite: MATH 214 or MATH 216, PHYSICS 240. Credit for only one: EECS 215, or EECS 314. Not open to CE or EE students. (4 credits)."
EECS 320,Introduction to Semiconductor Devices,['4'],https://atlas.ai.umich.edu/course/EECS%20320/,Prerequisite: EECS 215 and PHYSICS 240 or 260. (4 credits)
EECS 330,Introduction to Antennas and Wireless Systems,['4'],https://atlas.ai.umich.edu/course/EECS%20330/,Prerequisite: EECS 230. (4 credits)
